,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Callaita,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12E-06,0.243,0.244,176.169,audio_features,2TH65lNHgvLxCKXM3apjxI,spotify:track:2TH65lNHgvLxCKXM3apjxI,https://api.spotify.com/v1/tracks/2TH65lNHgvLxCKXM3apjxI,https://api.spotify.com/v1/audio-analysis/2TH65lNHgvLxCKXM3apjxI,250534.0,4.0
1,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),0.825,0.672,0.0,-7.108,1.0,0.418,0.0858,0.0,0.12300000000000000,0.24600000000000000,147.01,audio_features,7wTA0NKIm6T7nP2kaymU2a,spotify:track:7wTA0NKIm6T7nP2kaymU2a,https://api.spotify.com/v1/tracks/7wTA0NKIm6T7nP2kaymU2a,https://api.spotify.com/v1/audio-analysis/7wTA0NKIm6T7nP2kaymU2a,382307.0,4.0
2,Envy Me,0.74,0.488,1.0,-7.664,0.0,0.27,0.23400000000000000,0.0,0.24100000000000000,0.584,149.042,audio_features,7rvyVWja33WG9R97oeJAjx,spotify:track:7rvyVWja33WG9R97oeJAjx,https://api.spotify.com/v1/tracks/7rvyVWja33WG9R97oeJAjx,https://api.spotify.com/v1/audio-analysis/7rvyVWja33WG9R97oeJAjx,120133.0,4.0
3,Me Odias?,0.7860000000000000,0.581,1.0,-6.3870000000000000,0.0,0.19700000000000000,0.552,0.0,0.0859,0.33,131.874,audio_features,5I31UVARw4Di9SooJGN9el,spotify:track:5I31UVARw4Di9SooJGN9el,https://api.spotify.com/v1/tracks/5I31UVARw4Di9SooJGN9el,https://api.spotify.com/v1/audio-analysis/5I31UVARw4Di9SooJGN9el,234550.0,4.0
4,Quiero,0.6510000000000000,0.737,9.0,-7.416,1.0,0.0415,0.0447,0.0,0.156,0.703,104.83200000000000,audio_features,0iEW2LlHNXVyZhwO96sL3z,spotify:track:0iEW2LlHNXVyZhwO96sL3z,https://api.spotify.com/v1/tracks/0iEW2LlHNXVyZhwO96sL3z,https://api.spotify.com/v1/audio-analysis/0iEW2LlHNXVyZhwO96sL3z,209583.0,4.0
5,when the party's over,0.3670000000000000,0.111,4.0,-14.084000000000000,1.0,0.0972,0.978,3.97E-05,0.0897,0.198,82.64200000000000,audio_features,43zdsphuZLzwA9k4DJhU0I,spotify:track:43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,196077.0,4.0
6,Acurrucar,0.809,0.21600000000000000,8.0,-12.103,1.0,0.0353,0.9440000000000000,0.00799,0.0894,0.23600000000000000,99.1,audio_features,1xYBeQ5u8uaJ3oBWktjGyJ,spotify:track:1xYBeQ5u8uaJ3oBWktjGyJ,https://api.spotify.com/v1/tracks/1xYBeQ5u8uaJ3oBWktjGyJ,https://api.spotify.com/v1/audio-analysis/1xYBeQ5u8uaJ3oBWktjGyJ,234080.0,4.0
7,Go Fuck Yourself,0.765,0.327,6.0,-8.029,1.0,0.27700000000000000,0.5710000000000000,0.0479,0.0787,0.292,74.931,audio_features,4NZrZgrRoR4GwR7flWOXRI,spotify:track:4NZrZgrRoR4GwR7flWOXRI,https://api.spotify.com/v1/tracks/4NZrZgrRoR4GwR7flWOXRI,https://api.spotify.com/v1/audio-analysis/4NZrZgrRoR4GwR7flWOXRI,129600.0,4.0
8,"Peer Gynt Suite No. 1, Op. 46: Morning Mood - Arr. for Piano",0.31,0.0532,4.0,-26.802,1.0,0.0401,0.991,0.9130000000000000,0.0917,0.0719,67.711,audio_features,70nfm7IEXnFdxLtvxdXnZq,spotify:track:70nfm7IEXnFdxLtvxdXnZq,https://api.spotify.com/v1/tracks/70nfm7IEXnFdxLtvxdXnZq,https://api.spotify.com/v1/audio-analysis/70nfm7IEXnFdxLtvxdXnZq,233107.0,4.0
9,SLOW DANCING IN THE DARK,0.515,0.479,3.0,-7.4580000000000000,1.0,0.0261,0.544,0.00598,0.191,0.284,88.964,audio_features,0rKtyWc8bvkriBthvHKY8d,spotify:track:0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/audio-analysis/0rKtyWc8bvkriBthvHKY8d,209274.0,4.0
